Segment,CPV
10000000,03121100#03324000 
11000000,14523100#19410000#15412100#19282000 
12000000,24311000#24321000
13000000,19522000#19512000#19521000
14000000,22991000#22992000 
15000000,09135000#24951200#092110000#09211630 
20000000,43121000#43124900#43262100 
21000000,16110000#16613000#16651000 
22000000,43310000#43320000
23000000,42160000#42215000
24000000,42418500#44614300 
25000000,34113000#34131000#35412200 
26000000,34330000
27000000,44511000#42631000
30000000,44111000#44212000
31000000,44111000
32000000,31711100
39000000,31681000#31521000#31531000
40000000,31213000
41000000,38434000#38970000
42000000,33141000#33190000
43000000,32211000#32524000 
44000000,30191000#30192000
45000000,30121000#30122000#42991200#32321200 
46000000,35112000#35113000#35121000
47000000,39831240#42921100 
48000000,39314000
49000000,37410000
50000000,15911000
51000000,33600000
52000000,39221000
53000000,18222000
54000000,39293500
55000000,22120000
56000000,39130000
60000000,37520000#37310000#37823500#39162000
70000000,92534000
71000000,45254100#76100000#76200000
72000000,45213000
73000000,71323000
76000000,90911200
77000000,90710000
78000000,64216120
80000000,79412000
81000000,73210000
82000000,79950000
83000000,65100000#65200000#65300000
84000000,66510000
85000000,85140000
86000000,80410000
90000000,79950000 #98340000
91000000,79610000
92000000,75242000
93000000,98132000
94000000,79412000
95000000,45213000
10100000,03322000
10110000,15711000
10120000,15712000
10130000,77000000#03140000
10140000,03142000
10150000,03111000
10160000,03100000
10170000,14300000#24453000
10190000,24451000
10200000,03110000#03000000
10210000,03110000#03000000
10220000,03110000#03000000
10230000,03110000#03000000
10300000,03110000#03000000
10310000,03110000#03000000
10320000,03110000#03000000
10330000,03110000#03000000
10340000,03110000#03000000
10400000,03110000#03000000
10410000,03110000#03000000
10420000,03110000#03000000
10430000,03110000#03000000
10500000,03221000
11100000,14523100#14600000#14700000
11110000,44900000#44910000
11120000,3440000
11130000,03142000#15100000
11140000,3417000
11150000,19400000
11160000,19100000
11170000,14600000
11180000,24311510
11190000,14600000
12130000,24600000
12140000,24100000
12160000,24951200#24957000
12170000,24220000
12180000,03142400
12190000,44832000
12350000,24112000#24112300
13100000,19510000
13110000,19522000#24327400
14100000,22800000
14110000,22800000
14120000,22800000
15100000,09100000
15110000,09100000#24951200
15120000,09210000#24951100
15130000,09100000
20100000,43000000
20110000,43121000
20120000,43130000
20130000,43130000
20140000,43100000
21100000,16100000
21110000,03300000
22100000,43300000
23100000,42000000
23110000,42000000
23120000,42700000
23130000,42000000
23140000,42700000
23150000,42000000
23160000,43400000
23180000,15000000#42200000
23190000,39711211
23200000,39721410#42924710#38430000
23210000,31700000
23220000,42210000
23230000,42642000
23240000,42630000
23250000,42630000
23260000,42620000#42000000
23270000,42660000
23280000,42630000
23290000,42600000
23300000,44300000
24100000,42400000
24110000,44610000
24120000,42921320
24130000,42000000
24140000,42921300
25100000,34100000
25110000,34930000
25120000,34600000
25130000,34700000
25150000,34700000
25160000,34400000
25170000,34000000
25180000,34200000
25190000,34900000
25200000,35640000
26100000,31100000
26110000,31440000#31120000
26120000,31300000#31210000
26130000,31100000
26140000,42100000
27110000,44511000
27120000,43328100
27130000,42121000
27140000,34640000
30100000,44112700
30110000,44114000#44111200
30120000,71400000#45233000
30130000,44200000
30140000,45320000
30150000,44115000
30160000,44115000
30170000,44221200#44221100
30180000,39715300#44115210
30190000,43320000
30200000,43327000
30220000,43327000
30230000,43327000
30240000,43327000
30250000,43100000
30260000,44200000
31100000,43720000
31110000,44160000
31120000,43720000
31130000,42634000
31140000,42600000
31150000,44540000#44321000#44333000
31160000,44316400
31170000,44400000#42141300
31180000,42921300
31190000,43414000
31200000,24911200#39812500
