Type of Procedure,Type of procedure actual,,
Competitive dialogue,?????? ??????? ??????,COMPETITION FRAMEWORK AGREEMENT,
Competitive tendering,?????? ????,GENERAL COMPETITION,
Concession award procedure,,,
Concession award without prior concession notice,,,
Contract award without prior publication,,,
Direct award,,,
Innovation partnership,,,
Negotiated procedure - ,,,
Negotiated with prior publication of a call for competition /   competitive with negotiation,,,
Negotiated without prior call for competition,,,
Open,,,
Other,???? ?????,direct purchase ,
Other multiple stage procedure,,,
Other single stage procedure,,,
"Restricted"" - ",,,
,,,
